kic_kepler_id,galex_obj_id
7349700,3153823897452806790
7349920,3153823897452806725
7349935,3153823897452806577
7349958,3153823897452806831
7350025,3153823897452806564
7350083,3153823897452806855
7350169,3153823897452806387
7350194,3153823897452806350
7350211,3153823897452806695
7350225,3153823897452806342
7350240,3153823897452806662
7350285,3153823897452806767
7350342,3153823897452806343
7350390,3153823897452807038
7350509,3153823897452806421
7350561,3153823897452806721
7350629,3153823897452806315
7350634,3153823897452806772
7350661,3153823897452806379
7350673,3153823897452806681
7350707,3153823897452806339
7350743,3153823897452806506
7350769,3153823897452806448
7350829,3153823897452806408
7350874,3153823897452806648
7350968,3153823897452806494
7350999,3153823897452806550
7351012,3153823897452806711
7351028,3153823897452806535
7351098,3153823897452806402
7351144,3153823897452806282
7351318,3153823897452806345
7351329,3153823897452806303
7351351,3153823897452806517
7351416,3153823897453867092
7351420,3153823897452806547
7351433,3153823897452807010
7351433,3153823897453867002
7351508,3153823897452806663
7351518,3153823897454903509
7351526,3153823897452806456
7351548,3153823897452806630
7351563,3153823897452806807
7351580,3153823897452806835
7351610,3153823897452806625
7351630,3153823897452806621
7351644,3153823897452806447
7351683,3153823897452806274
7351688,3153823897452806475
7351702,3153823897452806599
7351703,3153823897452806704
7351704,3153823897452806367
7351707,3153823897452806553
7351769,3153823897452806628
7351771,3153823897452806429
7351854,3153823897452806729
7351901,3153823897452806675
7351923,3153823897452806764
7351928,3153823897452806386
7351965,3153823897452806503
7352004,3153823897452807005
7352050,3153823897452806808
7352158,3153823897452806795
7431521,3153823897452807638
7431624,3153823897452807111
7431632,3153823897452807113
7431665,3153823897452806936
7431692,3153823897452807020
7431712,3153823897452807568
7431768,3153823897452807381
7431773,3153823897452807668
7431824,3153823897452807333
7431834,3153823897452807025
7431887,3153823897452806895
7432029,3153823897452807072
7432036,3153823897452806973
7432038,3153823897452806922
7432082,3153823897452807496
7432092,3153823897452807629
7432098,3153823897452806877
7432159,3153823897452807416
7432184,3153823897452807090
7432241,3153823897452807026
7432276,3153823897452807351
7432278,3153823897452807208
7432288,3153823897452807667
7432318,3153823897452807128
7432378,3153823897452807164
7432408,3153823897452807525
7432420,3153823897452806960
7432444,3153823897453867200
7432450,3153823897452807434
7432473,3153823897452807489
7432476,3153823897452807114
7432479,3153823897452807114
7432510,3153823897452807065
7432523,3153823897452807335
7432614,3153823897452806987
7432631,3153823897452806857
7432686,3153823897452807580
7432698,3153823897452807089
7432719,3153823897452806904
7432735,3153823897452807078
7432753,3153823897452807548
7432756,3153823897452807345
7432909,3153823897452807145
7432936,3153823897452807595
7432941,3153823897452807394
7432948,3153823897452806918
7432962,3153823897452807023
7432991,3153823897452806867
7433069,3153823897452807138
7433085,3153823897452807234
7433112,3153823897452806845
7433125,3153823897452807133
7433164,3153823897452807352
7433192,3153823897452807380
7433208,3153823897452807461
7433239,3153823897452807680
7433253,3153823897452807589
7433256,3153823897452806932
7433284,3153823897452807383
7433412,3153823897452807852
7594622,3153823897452809929
7594684,3153823897452809480
7594770,3153823897452809773
7594800,3153823897452809544
7594841,3153823897452809183
7594845,3153823897452809634
7594855,3153823897452809046
7594878,3153823897452808900
7594887,3153823897452809803
7594915,3153823897452810244
7594917,3153823897452809632
7594965,3153823897452809089
7595000,3153823897452809694
7595009,3153823897452809080
7595037,3153823897452809501
7595041,3153823897452809342
7595050,3153823897452809482
7595057,3153823897452809311
7595105,3153823897452809153
7595106,3153823897452809883
7595133,3153823897452808853
7595151,3153823897452809635
7595155,3153823897452809455
7595157,3153823897452809638
7595177,3153823897452809508
7595178,3153823897452809392
7595191,3153823897452809107
7595211,3153823897452809197
7595272,3153823897452809337
7595279,3153823897452808755
7595285,3153823897452809257
7595355,3153823897452808775
7595393,3153823897452809229
7595412,3153823897452809193
7595450,3153823897452808844
7595517,3153823897452809587
7595578,3153823897452809446
7595595,3153823897452808788
7595620,3153823897452808997
7595638,3153823897452809962
7595642,3153823897452808726
7595643,3153823897452809070
7595722,3153823897452809253
7595735,3153823897452809874
7595777,3153823897452809433
7595801,3153823897452808846
7595834,3153823897452809628
7595848,3153823897452809143
7595856,3153823897452809431
7595862,3153823897452809928
7595906,3153823897452809573
7595928,3153823897452808689
7595932,3153823897453867775
7595955,3153823897452809054
7595992,3153823897452809779
7596009,3153823897452809204
7596034,3153823897452809517
7596075,3153823897452809968
7596122,3153823897452809315
7596137,3153823897452810054
7596219,3153823897452809908
7596233,3153823897452809570
7596240,3153823897452809588
7596267,3153823897453867860
7596346,3153823897452809562
7596357,3153823897452809475
7596442,3153823897452809233
7596442,3153823897453867909
7596443,3153823897452809375
7596464,3153823897452809656
7596505,3153823897452809306
7596537,3153823897452809208
7596621,3153823897452809797
7596653,3153823897452809134
7596692,3153823897452809696
7596724,3153823897452809948
7596847,3153823897452809795
7596850,3153823897452809327
7596878,3153823897452808770
7596885,3153823897452809602
7596920,3153823897452808995
7596937,3153823897452809464
7596944,3153823897452810030
7597005,3153823897452808773
7597068,3153823897452809774
7597095,3153823897452808822
7597104,3153823897452808886
7597124,3153823897452809633
7597128,3153823897452809594
7597131,3153823897452809877
7597152,3153823897452809977
7597185,3153823897452809614
7597186,3153823897452809574
7597196,3153823897452809518
7597197,3153823897452809008
7597226,3153823897452809293
7597230,3153823897452809376
7597256,3153823897452809516
7597274,3153823897452809132
7597289,3153823897452808960
7597394,3153823897452809647
7597395,3153823897452809348
7597414,3153823897452809604
7597522,3153823897452808847
7597558,3153823897452809069
7597569,3153823897452808771
7597607,3153823897452809112
7597640,3153823897452809145
7597685,3153823897452809300
7597693,3153823897452809149
7597703,3153823897452809836
7597723,3153823897452809425
7597792,3153823897452809826
7597815,3153823897452809427
7597866,3153823897452808643
7597872,3153823897452809681
7597948,3153823897452808998
7597952,3153823897452808697
7598025,3153823897452809168
7598036,3153823897452809004
7598049,3153823897452809226
7598066,3153823897452809216
7598106,3153823897452809764
7598152,3153823897452809410
7598166,3153823897452809856
7598222,3153823897452809690
7598262,3153823897452809272
7598267,3153823897452809616
7598282,3153823897452809474
7598321,3153823897452809592
7598326,3153823897452808764
7598404,3153823897452809141
7598512,3153823897452809973
7670360,3153823897452810958
7670419,3153823897452811008
7670435,3153823897452811558
7670451,3153823897452810478
7670485,3153823897452810466
7670489,3153823897452810898
7670496,3153823897452809951
7670507,3153823897452810923
7670551,3153823897452810848
7670617,3153823897452810707
7670647,3153823897452810794
7670654,3153823897452810626
7670669,3153823897452810929
7670696,3153823897452810484
7670700,3153823897452810405
7670706,3153823897452810083
7670754,3153823897453868470
7670754,3153823897452811835
7670761,3153823897453868567
7670797,3153823897453868467
7670807,3153823897453868584
7670914,3153823897452810338
7670947,3153823897452810122
7670990,3153823897452809960
7671029,3153823897452810184
7671053,3153823897452810539
7671055,3153823897452811015
7671065,3153823897452810278
7671097,3153823897452810521
7671099,3153823897452810286
7671118,3153823897452811103
7671153,3153823897452811085
7671162,3153823897452810672
7671175,3153823897452810526
7671229,3153823897452811120
7671267,3153823897452810237
7671353,3153823897452810961
7671386,3153823897452810830
7671407,3153823897452811165
7671422,3153823897452810948
7671428,3153823897452810009
7671546,3153823897452811211
7671560,3153823897452811124
7671562,3153823897452810108
7671568,3153823897452810720
7671579,3153823897452810627
7671594,3153823897452810747
7671626,3153823897452810343
7671649,3153823897452810346
7671695,3153823897452810646
7671746,3153823897452810758
7671776,3153823897452810018
7671826,3153823897452810767
7671841,3153823897452810091
7671855,3153823897452809875
7671948,3153823897452810317
